lizard_id,lizard_id,position,species,trt,current_enclosure,egg_id,clutch,egg_date,hatch_date,hatch_mass,hatch_svl,hatch_tl,death_date,liz_status,mortality,notes,cohort,mass,SVL,TL,date measured,Date finished training,Group
LD1255_22,1255,A1,delicata,A_23,E168_23,EG1255_22,CL334_22,2/11/2022,23/12/2022,0.108,19,25,NA,ALIVE,1,NA,3,0.317,28,40,12/3/2023,31/3/2023,B_R
LD1382_22,1382,A1,delicata,B_28,E120_23,EG1382,CL373_22,11/11/2022,16/12/2022,0.093,19,24,NA,ALIVE,1,NA,4,0.383,25,40,12/3/2023,1/4/2023,B_R
LD1410_22,1410,A1,delicata,A_28,E115_23,EG1410,CL379_22,14/11/2022,14/12/2022,0.107,18,25,NA,ALIVE,1,NA,4,0.582,32,52,12/3/2023,28/3/2023,R_B
LD2073_22,2073,A1,delicata,B_23,E773_23,EG2073,CL560_22,26/12/2022,15/2/2023,0.126,18,26,NA,ALIVE,1,NA,10,0.205,22,32,12/3/2023,22/3/2023,B_R
LG1373_22,1373,A2,guichenoti,A_28,E101_23,EG1373,CL370_22,11/11/2022,14/12/2022,0.159,20,26,NA,ALIVE,1,NA,4,0.446,28,42,12/3/2023,24/3/2023,B_R
LG1478_22,1478,A2,guichenoti,B_23,E420_23,EG1478,CL400_22,21/11/2022,18/1/2023,0.158,21,28,NA,ALIVE,1,NA,5,0.344,28,39,12/3/2023,23/3/2023,B_R
LG2298_22,2298,A2,guichenoti,B_28,E717_23,EG2298,CL619_23,9/1/2023,10/2/2023,0.16,21,27,NA,ALIVE,1,NA,12,0.255,24,32,12/3/2023,26/3/2023,B_R
LD1207_22,1207,A3,delicata,B_23,E123_23,EG1207_22,CL320_22,28/10/2022,16/12/2022,0.118,18,24,NA,ALIVE,1,NA,2,0.392,28,44,12/3/2023,30/3/2023,R_B
LD1381_22,1381,A3,delicata,A_28,E088_23,EG1381,CL373_22,11/11/2022,12/12/2022,0.107,18,26,NA,ALIVE,1,NA,4,0.484,31,52,12/3/2023,30/3/2023,R_B
LD1401_22,1401,A3,delicata,B_28,E142_23,EG1401,CL377_22,14/11/2022,19/12/2022,0.117,18,24,NA,ALIVE,1,NA,4,0.307,25,36,12/3/2023,1/4/2023,R_B
LG1283_22,1283,A4,guichenoti,A_23,E213_23,EG1283_22,CL344_22,4/11/2022,28/12/2022,0.158,20,27,NA,ALIVE,1,NA,3,0.422,29,45,12/3/2023,28/3/2023,R_B
LG1562_22,1562,A4,guichenoti,B_28,E258_23,EG1562,CL423_22,28/11/2022,2/1/2023,0.124,20,24,NA,ALIVE,1,NA,6,0.387,28,34,12/3/2023,26/3/2023,B_R
LG1609_22,1609,A4,guichenoti,A_28,E269_23,EG1609,CL437_22,30/11/2022,2/1/2023,0.123,18,25,NA,ALIVE,1,NA,7,0.516,30,46,12/3/2023,25/3/2023,B_R
LG1887_22,1887,A4,guichenoti,B_23,NA,EG1887,CL513_22,14/12/2022,6/2/2023,0.167,21,28,17/4/2023,DEAD,0,E030 was switched with E023 at some point. These should be E023.,9,0.335,26,40,12/3/2023,20/3/2023,R_B
LG1276_22,1276,B1,guichenoti,A_28,E047_23,EG1276_22,CL341_22,4/11/2022,5/12/2022,0.132,19,26,NA,ALIVE,1,NA,3,0.605,31,50,12/3/2023,29/3/2023,R_B
LG1418_22,1418,B1,guichenoti,A_23,E314_23,EG1418,CL381_22,14/11/2022,6/1/2023,0.126,20,25,17/4/2023,DEAD,0,NA,4,0.445,29,45,12/3/2023,26/3/2023,B_R
LG1438_22,1438,B1,guichenoti,B_28,E150_23,EG1438,CL386_22,14/11/2022,21/12/2022,0.13,20,25,NA,ALIVE,1,NA,4,0.505,29,46,12/3/2023,21/3/2023,B_R
LD1198_22,1198,B2,delicata,A_23,E107_23,EG1198_22,CL318_22,24/10/2022,14/12/2022,0.108,19,25,NA,ALIVE,1,NA,1,0.531,31,51,12/3/2023,29/3/2023,R_B
LD1233_22,1233,B2,delicata,B_23,E143_23,EG1233_22,CL327_22,31/10/2022,19/12/2022,0.117,18,23,NA,ALIVE,1,NA,2,0.37,27,41,12/3/2023,31/3/2023,B_R
LD1240_22,1240,B2,delicata,A_28,E021_23,EG1240_22,CL330_22,2/11/2022,2/12/2022,0.114,18,28,NA,ALIVE,1,NA,3,0.479,31,49,12/3/2023,30/3/2023,B_R
LD1284_22,1284,B2,delicata,B_28,E035_23,EG1284_22,CL345_22,4/11/2022,5/12/2022,0.123,18,20,NA,ALIVE,1,NA,3,0.527,30,41,12/3/2023,21/3/2023,B_R
LG1432_22,1432,B3,guichenoti,B_23,E349_23,EG1432,CL385_22,9/11/2022,9/1/2023,0.126,20,25,NA,ALIVE,1,Maybe two clutches,4,0.42,29,43,12/3/2023,20/3/2023,R_B
LG1482_22,1482,B3,guichenoti,A_28,E415_23,EG1482,CL401_22,21/11/2022,18/1/2023,0.139,20,25,19/4/2023,DEAD,0,NA,5,0.32,28,40,12/3/2023,30/3/2023,R_B
LG2047_22,2047,B3,guichenoti,A_23,E784_23,EG2047,CL552_22,26/12/2022,17/2/2023,0.128,19,28,NA,ALIVE,1,NA,10,0.191,22,34,12/3/2023,27/3/2023,B_R
LG2333_22,2333,B3,guichenoti,B_28,E765_23,EG2333,CL629_23,11/1/2023,15/2/2023,0.13,19,28,19/4/2023,DEAD,0,NA,13,0.172,20,29,12/3/2023,20/3/2023,B_R
LD1205_22,1205,B4,delicata,A_28,E014_23,EG1205_22,CL320_22,28/10/2022,28/11/2022,0.124,17,24,NA,ALIVE,1,NA,2,0.525,32,49,12/3/2023,31/3/2023,R_B
LD1296_22,1296,B4,delicata,B_23,E201_23,EG1296_22,CL348_22,4/11/2022,26/12/2022,0.116,19,26,NA,ALIVE,1,NA,3,0.311,25,40,12/3/2023,5/4/2023,B_R
LD1399_22,1399,B4,delicata,A_23,E324_23,EG1399,CL377_22,14/11/2022,6/1/2023,0.132,20,27,NA,ALIVE,1,NA,4,0.344,26,40,12/3/2023,3/4/2023,R_B
LG1363_22,1363,C1,guichenoti,A_23,E284_23,EG1363_22,CL367_22,9/11/2022,2/1/2023,0.13,20,24,19/4/2023,DEAD,0,NA,4,0.403,28,40,12/3/2023,26/3/2023,B_R
LG1366_22,1366,C1,guichenoti,A_28,E069_23,EG1366_22,CL368_22,9/11/2022,7/12/2022,0.134,19,24,NA,ALIVE,1,NA,4,0.416,29,42,12/3/2023,1/4/2023,B_R
LG1374_22,1374,C1,guichenoti,B_23,E318_23,EG1374,CL371_22,11/11/2022,6/1/2023,0.141,21,26,NA,ALIVE,1,NA,4,0.437,30,47,12/3/2023,20/3/2023,R_B
LG1463_22,1463,C1,guichenoti,B_28,E178_23,EG1463,CL396_22,18/11/2022,23/12/2022,0.158,21,29,NA,ALIVE,1,NA,5,0.519,30,49,12/3/2023,27/3/2023,B_R
LD1202_22,1202,C2,delicata,B_28,E016_23,EG1202_22,CL319_22,28/10/2022,30/11/2022,0.113,18,25,NA,ALIVE,1,NA,2,0.477,29,46,12/3/2023,26/3/2023,R_B
LD1322_22,1322,C2,delicata,B_23,E198_23,EG1322_22,CL356_22,7/11/2022,26/12/2022,0.111,18,22,NA,ALIVE,1,NA,3,0.393,28,40,12/3/2023,26/3/2023,R_B
LD2205_22,2205,C2,delicata,A_28,E604_23,EG2205,CL595_22,4/1/2023,3/2/2023,0.121,19,28,NA,ALIVE,1,NA,12,0.338,26,46,3/4/2023,9/4/2023,B_R
LG1316_22,1316,C3,guichenoti,A_23,E293_22,EG1316_22,CL354_22,7/11/2022,2/1/2023,0.134,19,25,19/4/2023,DEAD,1,NA,3,0.318,27,39,12/3/2023,26/3/2023,R_B
LG1611_22,1611,C3,guichenoti,B_28,E303_23,EG1611,CL438_22,30/11/2022,4/1/2023,0.137,20,22,NA,ALIVE,1,NA,7,0.41,29,35,12/3/2023,26/3/2023,B_R
LG2292_22,2292,C3,guichenoti,A_28,E703_23,EG2292,CL617_23,9/1/2023,10/2/2023,0.108,19,25,21/4/2023,DEAD,0,NA,12,0.252,24,36,12/3/2023,20/3/2023,B_R
LD1222_22,1222,C4,delicata,A_28,E015_23,EG1222_22,CL325_22,31/10/2022,30/11/2022,0.096,17,25,NA,ALIVE,1,NA,2,0.419,30,46,12/3/2023,2/4/2023,R_B
LD1390_22,1390,C4,delicata,A_23,E287_23,EG1390,CL374_22,14/11/2022,2/1/2023,0.127,20,26,NA,ALIVE,1,NA,4,0.411,28,45,12/3/2023,30/3/2023,R_B
LD1454_22,1454,C4,delicata,B_28,E134_23,EG1454,CL392_22,16/11/2022,19/12/2022,0.115,18,24,NA,ALIVE,1,NA,5,0.387,28,41,12/3/2023,28/3/2023,R_B
LD2105_22,2105,C4,delicata,B_23,E741_23,EG2105,CL569_22,28/12/2022,13/2/2023,0.115,19,25,NA,ALIVE,1,NA,11,0.166,22,33,12/3/2023,1/4/2023,B_R
LG1177_22,1177,D1,guichenoti,A_23,E081_23,EG1177_22,CL314_22,17/10/2022,9/12/2022,0.141,19,24,NA,ALIVE,1,NA,1,0.496,28,41,12/3/2023,28/3/2023,R_B
LG1358_22,1358,D1,guichenoti,B_28,E044_23,EG1358,CL365_22,9/11/2022,5/12/2022,0.188,22,29,NA,ALIVE,1,Hormone Dripped; Twin Lizards?,4,0.81,35,56,12/3/2023,20/3/2023,R_B
LG1479_22,1479,D1,guichenoti,A_28,E200_23,EG1479,CL400_22,21/11/2022,26/12/2022,0.167,21,27,NA,ALIVE,1,NA,5,0.415,27,39,12/3/2023,28/3/2023,R_B
LG2001_22,2001,D1,guichenoti,B_23,E772_23,EG2001,CL540_22,21/12/2022,15/2/2023,0.133,19,26,20/4/2023,DEAD,0,NA,10,0.196,22,29,12/3/2023,26/3/2023,B_R
LD1303_22,1303,D2,delicata,B_23,E0151_23,EG1303_22,CL350_22,4/11/2022,21/12/2022,0.112,19,24,NA,ALIVE,1,NA,3,0.363,28,42,12/3/2023,30/3/2023,R_B
LD1531_22,1531,D2,delicata,A_23,E413_23,EG1531,CL414_22,25/11/2022,18/1/2023,0.108,19,25,NA,ALIVE,1,Might be written as LG1581_22 on enclosure.,6,0.341,26,42,12/3/2023,27/3/2023,B_R
LG1371_22,1371,D3,guichenoti,A_23,E354_23,EG1371,CL370_22,11/11/2022,9/1/2023,0.156,21,27,NA,ALIVE,1,NA,4,0.485,31,40,12/3/2023,27/3/2023,B_R
LG1459_22,1459,D3,guichenoti,B_23,E351_23,EG1459,CL394_22,18/11/2022,11/1/2023,0.162,20,28,NA,ALIVE,1,NA,5,0.346,26,42,12/3/2023,8/4/2023,B_R
LD1166_22,1166,D4,delicata,A_28,E006_23,EG1166_22,CL312_22,17/10/2022,21/11/2022,0.095,19,26,NA,ALIVE,1,NA,1,0.465,31,49,12/3/2023,4/4/2023,R_B
LD1192_22,1192,D4,delicata,A_23,E109_23,EG1192_22,CL317_22,24/10/2022,14/12/2022,0.115,18,23,NA,ALIVE,1,NA,1,0.42,30,42,12/3/2023,29/3/2023,R_B
LD1229_22,1229,D4,delicata,B_28,E050_23,EG1229_22,CL326_22,31/10/2022,5/12/2022,0.112,18,26,NA,ALIVE,1,NA,2,0.615,32,51,12/3/2023,29/3/2023,R_B
LD1257_22,1257,D4,delicata,B_23,E182_23,EG1257_22,CL334_22,2/11/2022,23/12/2022,0.112,19,26,NA,ALIVE,1,NA,3,0.466,29,46,12/3/2023,27/3/2023,B_R
LG1442_22,1442,E1,guichenoti,B_23,E342_23,EG1442,CL388_22,16/11/2022,9/1/2023,0.166,22,25,NA,ALIVE,1,NA,5,0.358,27,38,12/3/2023,21/3/2023,B_R
LG1536_22,1536,E1,guichenoti,A_23,E408_23,EG1536,CL415_22,25/11/2022,18/1/2023,0.148,21,27,17/4/2023,DEAD,0,NA,6,0.255,25,38,12/3/2023,21/3/2023,B_R
LG1565_22,1565,E1,guichenoti,B_28,E260_23,EG1565,CL424_22,28/11/2022,2/1/2023,0.132,19,25,NA,ALIVE,1,NA,6,0.402,27,37,12/3/2023,29/3/2023,R_B
LD1174_22,1174,E2,delicata,A_23,E031_23,EG1174_22,CL313_22,17/10/2022,2/12/2022,0.102,17,26,NA,ALIVE,1,NA,1,0.577,32,57,12/3/2023,31/3/2023,R_B
LD1185_22,1185,E2,delicata,B_23,E108_23,EG1185_22,CL316_22,24/10/2022,14/12/2022,0.107,18,23,NA,ALIVE,1,NA,1,0.397,28,41,12/3/2023,-,R_B
LD1402_22,1402,E2,delicata,A_28,E122_23,EG1402,CL377_22,14/11/2022,16/12/2022,0.122,19,27,NA,ALIVE,1,NA,4,0.455,30,52,12/3/2023,1/4/2023,R_B
LD2255_22,2255,E2,delicata,B_28,NA,EG2255,CL607_22,6/1/2023,6/2/2023,0.094,18,25,NA,ALIVE,1,NA,12,0.181,22,31,12/3/2023,2/4/2023,B_R
LG1218_22,1218,E3,guichenoti,A_28,E028_23,EG1218_22,CL324_22,31/10/2022,2/12/2022,0.104,19,26,NA,ALIVE,1,NA,2,0.368,28,44,12/3/2023,21/3/2023,R_B
LG1443_22,1443,E3,guichenoti,A_23,E338_23,EG1443,CL388_22,16/11/2022,9/1/2023,0.169,20,26,NA,ALIVE,1,NA,5,0.384,28,40,12/3/2023,20/3/2023,R_B
LG1598_22,1598,E3,guichenoti,B_28,E161_23,EG1598,CL433_22,28/11/2022,6/1/2023,0.109,19,25,24/4/2023,DEAD,0,NA,6,0.271,25,36,12/3/2023,21/3/2023,R_B
LG2164_22,2164,E3,guichenoti,B_23,E865_23,EG2164,CL584_22,2/1/2023,24/2/2023,0.134,20,25,NA,ALIVE,1,NA,11,0.188,21,29,12/3/2023,20/3/2023,B_R
LD1172_22,1172,E4,delicata,B_28,E001_23,EG1172_22,CL313_22,17/10/2022,16/11/2022,0.094,16,22,NA,ALIVE,1,NA,1,0.398,28,43,12/3/2023,10/4/2023,R_B
LD1239_22,1239,E4,delicata,A_23,E159_23,EG1239_22,CL329_22,2/11/2022,21/12/2022,0.104,18,26,NA,ALIVE,1,NA,3,0.419,20,33,12/3/2023,30/3/2023,B_R
LD2346_22,2346,E4,delicata,B_23,E931_23,EG2346,CL633_23,13/1/2023,3/3/2023,0.11,18,24,NA,ALIVE,1,NA,13,0.178,19,26,3/4/2023,11/4/2023,B_R
LD1230_22,1230,F1,delicata,B_28,E022_23,EG1230_22,CL327_22,31/10/2022,2/12/2022,0.109,17,25,NA,ALIVE,1,NA,2,0.392,29,45,12/3/2023,29/3/2023,B_R
LD1487_22,1487,F1,delicata,A_23,E428_23,EG1487,CL402_22,21/11/2022,18/1/2023,0.104,19,26,NA,ALIVE,1,NA,5,0.24,24,35,12/3/2023,20/3/2023,B_R
LD2351_22,2351,F1,delicata,A_28,E753_23,EG2351,CL634_23,13/1/2023,13/2/2023,0.1,19,26,NA,ALIVE,1,NA,13,0.289,25,37,3/4/2023,6/4/2023,B_R
LG1419_22,1419,F2,guichenoti,A_28,E121_23,EG1419,CL382_22,14/11/2022,16/12/2022,0.141,18,24,NA,ALIVE,1,NA,4,0.39,27,43,12/3/2023,20/3/2023,B_R
LG1534_22,1534,F2,guichenoti,A_23,E417_23,EG1534,CL415_22,25/11/2022,18/1/2023,0.143,20,25,NA,ALIVE,1,NA,6,0.378,26,41,12/3/2023,20/3/2023,R_B
LG1580_22,1580,F2,guichenoti,B_28,E304_23,EG1580,CL428_22,28/11/2022,4/1/2023,0.126,19,25,NA,ALIVE,1,NA,6,0.545,31,47,12/3/2023,20/3/2023,R_B
LG1613_22,1613,F2,guichenoti,B_23,E469_23,EG1613,CL439_22,30/11/2022,23/1/2023,0.157,21,25,NA,ALIVE,1,NA,7,0.304,25,35,12/3/2023,29/3/2023,R_B
LD1182_22,1182,F3,delicata,B_23,E090_23,EG1182_22,CL315_22,21/10/2022,12/12/2022,0.106,18,26,NA,ALIVE,1,NA,1,0.434,28,46,12/3/2023,29/3/2023,R_B
LD1424_22,1424,F3,delicata,A_23,E323_23,EG1424,CL383_22,14/11/2022,6/1/2023,0.107,18,24,NA,ALIVE,1,NA,4,0.419,29,43,12/3/2023,31/3/2023,B_R
LD2106_22,2106,F3,delicata,A_28,E498_23,EG2106,CL569_22,28/12/2022,25/1/2023,NA,NA,NA,NA,ALIVE,1,NA,11,0.415,27,42,17/3/2023,9/4/2023,B_R
LD2486_22,2486,F3,delicata,B_28,E883_23,EG2486,CL677_23,27/1/2023,27/2/2023,0.109,19,26,NA,ALIVE,1,NA,15,0.252,23,32,17/3/2023,2/4/2023,B_R
LG1340_22,1340,F4,guichenoti,B_28,E086_23,EG1340_22,CL360_22,7/11/2022,12/12/2022,0.138,18,25,NA,ALIVE,1,NA,3,0.595,30,46,12/3/2023,6/4/2023,R_B
LG1417_22,1417,F4,guichenoti,B_28,E319_23,EG1417,CL381_22,14/11/2022,6/1/2023,0.137,21,28,NA,ALIVE,1,NA,4,0.395,27,45,12/3/2023,20/3/2023,R_B
LG1467_22,1467,F4,guichenoti,A_28,E181_23,EG1467,CL397_22,18/11/2022,23/12/2022,0.174,21,32,NA,ALIVE,1,NA,5,0.639,33,52,12/3/2023,20/3/2023,R_B
LG1421_22,1421,G1,guichenoti,B_23,E316_23,EG1421,CL382_22,14/11/2022,6/1/2023,0.139,20,24,NA,ALIVE,1,NA,4,0.433,28,44,12/3/2023,20/3/2023,R_B
LG1466_22,1466,G1,guichenoti,A_23,E136_23,EG1466,CL397_22,18/11/2022,13/1/2023,0.182,21,31,22/4/2023,DEAD,0,NA,5,0.402,30,19,12/3/2023,21/3/2023,R_B
LG1674_22,1674,G1,guichenoti,B_23,E353_23,EG1674,CL455_22,2/12/2022,9/1/2023,0.136,20,27,NA,ALIVE,1,NA,7,0.513,28,44,15/3/2023,6/4/2023,R_B
LG2009_22,2009,G1,guichenoti,A_28,E493_23,EG2009,CL542_22,21/12/2022,25/1/2023,NA,NA,NA,NA,ALIVE,1,NA,10,0.667,30,50,15/3/2023,3/4/2023,B_R
LD1258_22,1258,G2,delicata,A_28,E051_23,EG1258_22,CL334_22,2/11/2022,5/12/2022,0.103,18,26,NA,ALIVE,1,NA,3,0.507,31,47,12/3/2023,28/3/2023,B_R
LD1328_22,1328,G2,delicata,A_23,E190_23,EG1328_22,CL357_22,7/11/2022,26/12/2022,0.091,17,23,NA,ALIVE,1,NA,3,0.421,28,44,12/3/2023,5/4/2023,R_B
LD1408_22,1408,G2,delicata,B_28,E104_23,EG1408,CL379_22,14/11/2022,14/12/2022,0.104,18,25,NA,ALIVE,1,NA,4,0.41,29,46,12/3/2023,28/3/2023,R_B
LG1360_22,1360,G3,guichenoti,A_28,E103_23,EG1360_22,CL366_22,9/11/2022,14/12/2022,0.166,21,29,NA,ALIVE,1,NA,4,0.463,29,44,12/3/2023,21/3/2023,R_B
LG1795_22,1795,G3,guichenoti,A_23,NA,EG1795,CL489_22,9/12/2022,6/2/2023,0.162,21,27,NA,ALIVE,1,NA,8,0.619,33,53,3/4/2023,5/4/2023,B_R
LG2081_22,2081,G3,guichenoti,B_23,E803_23,EG2081,CL562_22,26/12/2022,20/2/2023,0.119,19,24,NA,ALIVE,1,NA,10,0.285,24,36,3/4/2023,3/4/2023,B_R
LD1223_22,1223,G4,delicata,A_23,E145_23,EG1223_22,CL325_22,31/10/2022,19/12/2022,0.1,18,24,NA,ALIVE,1,NA,2,0.328,27,42,12/3/2023,28/3/2023,B_R
LD1334_22,1334,G4,delicata,A_28,E058_23,EG1334_22,CL358_22,7/11/2022,7/12/2022,0.119,18,26,NA,ALIVE,1,NA,3,0.608,32,49,12/3/2023,31/3/2023,B_R
LD1619_22,1619,G4,delicata,B_23,MM_4,EG1619,CL440_22,30/11/2022,23/1/2023,0.095,18,24,NA,ALIVE,1,NA,7,0.385,26,40,17/3/2023,7/4/2023,R_B
LD2242_22,2242,G4,delicata,B_28,NA,EG2242,CL604_22,6/1/2023,6/2/2023,0.107,19,27,NA,ALIVE,1,NA,12,0.382,35,40,15/3/2023,1/4/2023,B_R